,text,text_clean
2066,"gw enginer turbine, dan gw tau ongkos produksi dari PLTU jauh lebih irit, seharusnya pemerintah sekarang fokus membangun PLT Air, atau pembangkit tenaga gelombang agar alam kita lebih terjaga Ã°Å¸â€˜Å’Ã°Å¸â€˜Å’",gw enginer turbine dan gw tau ongkos produksi dari pltu jauh lebih irit seharusnya pemerintah sekarang fokus membangun plt air atau pembangkit tenaga gelombang agar alam kita lebih terjaga
2067,"Edan ini film bagus banget bubuk semuanya kena,kebanyakan anjinggggg nya",edan ini film bagus banget bubuk semuanya kenakebanyakan anjinggggg nya
2068,"Pertambangan = KEROK ,UDAH ABIS ,tinggalin cri lokasi baru ,kasi duit yg ngasi ijin ,ninggalin di tanya JAWAB pura2 bego dan jawab ngawur aja.haha otak mafia",pertambangan kerok udah abis tinggalin cri lokasi baru kasi duit yg ngasi ijin ninggalin di tanya jawab pura bego dan jawab ngawur ajahaha otak mafia
2069,Ada apa dengan Indonesia kuÃ°Å¸ËœÂ­,ada apa dengan indonesia ku
2070,"Eaaa langsung banyak yg berasa lulusan sarjana terbaik pertambangan, ekonomi, politik gegara satu video",eaaa langsung banyak yg berasa lulusan sarjana terbaik pertambangan ekonomi politik gegara satu video
2071,"di bioskop sdh ada belum gk ya , klo belom semoga di tayangkan di seluruh bioskop indonesia",di bioskop sdh ada belum gk ya klo belom semoga di tayangkan di seluruh bioskop indonesia
2072,Kalian luar biasa.,kalian luar biasa
2073,"Ngeri film ini, butuh sekedar uji nyali utk membuat dan menayangkan video ini. Dan bila ditayangkan ke TV nasional, pasti panas dingin pemimpin redaksinya. Hati2 komen ttg pemerintah bro!",ngeri film ini butuh sekedar uji nyali utk membuat dan menayangkan video ini dan bila ditayangkan ke tv nasional pasti panas dingin pemimpin redaksinya hati komen ttg pemerintah bro
2074,"No 1 karo nomer 2 pod bangsat e tibak e jancok
  Karuan g meleh karo cok cok",no karo nomer pod bangsat e tibak e jancok karuan g meleh karo cok cok
2075,"Ayolah subscribe!!! Jgn subscribe chanell abal2, prank gk bermutu aja... Salam dr Timor Leste",ayolah subscribe jgn subscribe chanell abal prank gk bermutu aja salam dr timor leste
2076,"Gak mikirin rakyat kecil KONTOL, rakyat kecil yg selalu di injek2 .. Lu kira hidup dengan banyak uang bisa hidup sesuka jidat lu WAHAI ORANG KAYA BEGO , .. SADAR TOLOL",gak mikirin rakyat kecil kontol rakyat kecil yg selalu di injek lu kira hidup dengan banyak uang bisa hidup sesuka jidat lu wahai orang kaya bego sadar tolol
2077,Bikin merinding.,bikin merinding
2078,"Teman teman nonton dokumentasi ini jika kita generasi muda peduli akan bangsa ini
  https://www.youtube.com/watch?v=UGZvA90xqY0
  watch this deforestation documentary by Harrison Ford. I feel ashamed as a human :(",teman teman nonton dokumentasi ini jika kita generasi muda peduli akan bangsa ini watch this deforestation documentary by harrison ford i feel ashamed as a human
2079,"Kenapa komentar nya nyalahin jokowi ya, padahal tambang ini mulai dari 2005",kenapa komentar nya nyalahin jokowi ya padahal tambang ini mulai dari
2080,"udh gk bakal mungkin film kaya gini di tanyangin di tv, udh bnyak yang di jajah di NKRI ini tanpa di sadari masyarakat kecil",udh gk bakal mungkin film kaya gini di tanyangin di tv udh bnyak yang di jajah di nkri ini tanpa di sadari masyarakat kecil
2081,Pantes ...masuk ... TV,pantes masuk tv
2082,pun solusinya adalah dijadikan tempat wisata ujung2nya masuk disitu bayar karcis jg hahaha...,pun solusinya adalah dijadikan tempat wisata ujungnya masuk disitu bayar karcis jg hahaha
2083,"Saya memohon untuk netijen indonesia yang kelak kalian semua akan menikah kalau ingin mempunyai anak cukup 2 anak saja , kalau kalian hanya berpikir menambah anak sebanyak banyaknya otomatis kebutuhan energi listrik di indonesia akan semakin banyak dan kalau semakin banyaknya kebutuhan energi listrik di Indonesia otomatis indonesia juga harus membangun pembangkit-pembangkit listrik yang kurang baik untuk lingkungan karena indonesia belum mampu membangun banyak pembangkit listrik yang ramah lingkungan karena masalah biaya yang cukup mahal jadi solusinya kurangi jumlah populasi manusia di indonesia untuk menjaga lingkungan hidup agar bisa terjaga dan alami sampai seterusnya, jadi ini bukan masalah pemerintah saja tapi ini juga masalah kita semua masyarakat indonesia untuk menjaga lingkungan yang sehat dan bersih dan saya mohon setelah adanya video ini semua jadi cepat sadar akan pentingnya merawat lingkungan sejak dini dan membuat anda lebih cinta kepada alam dan seisinya... Ã°Å¸â„¢Â",saya memohon untuk netijen indonesia yang kelak kalian semua akan menikah kalau ingin mempunyai anak cukup anak saja kalau kalian hanya berpikir menambah anak sebanyak banyaknya otomatis kebutuhan energi listrik di indonesia akan semakin banyak dan kalau semakin banyaknya kebutuhan energi listrik di indonesia otomatis indonesia juga harus membangun pembangkitpembangkit listrik yang kurang baik untuk lingkungan karena indonesia belum mampu membangun banyak pembangkit listrik yang ramah lingkungan karena masalah biaya yang cukup mahal jadi solusinya kurangi jumlah populasi manusia di indonesia untuk menjaga lingkungan hidup agar bisa terjaga dan alami sampai seterusnya jadi ini bukan masalah pemerintah saja tapi ini juga masalah kita semua masyarakat indonesia untuk menjaga lingkungan yang sehat dan bersih dan saya mohon setelah adanya video ini semua jadi cepat sadar akan pentingnya merawat lingkungan sejak dini dan membuat anda lebih cinta kepada alam dan seisinya
2084,Sayang yaaa... Karya sebagus ini kemudian hanya akan jadi angin lalu.. Semoga para penguasa bisa lebih membuka hati dan pikirannya untuk menyelamatkan lingkungan,sayang yaaa karya sebagus ini kemudian hanya akan jadi angin lalu semoga para penguasa bisa lebih membuka hati dan pikirannya untuk menyelamatkan lingkungan
2085,"Negeri ini memang kaya.
  
  Kaya orangnya.
  
  Kaya binatangnya.
  
  (Kaya alamnya)
  Hei bung karno nyenyakkah tidur abadi mu?",negeri ini memang kaya kaya orangnya kaya binatangnya kaya alamnya hei bung karno nyenyakkah tidur abadi mu
2086,Terima kasih. semoga semua masyarakat Kita menontonnya. biar mereka tahu akan kebenaran,terima kasih semoga semua masyarakat kita menontonnya biar mereka tahu akan kebenaran
2087,Kapan Indonesia terbuka sama pembangkit listrik tenaga nuklir?,kapan indonesia terbuka sama pembangkit listrik tenaga nuklir
2088,"Jangan Protes presiden, nanti ditangkap.",jangan protes presiden nanti ditangkap
2089,"selama nonton video ini seakan produser film berada pada pihak kontra pemerintah, benar flora dan fauna tidak punya tempat lagi, tapi apa kalian siap hidup tanpa listrik, terutama yang ada di jawa. jangan semua dilihat dari negatifnya aja, liat dari positifnya juga dong. Coba bandingin kerugian yang dirasakan dibandingkan manfaat dari semua itu secara umum, setiap tindakan pasti ada kesalahan makanya pemerintah selalu berusaha membuat payung hukum yang adil, semoga bisa mengerti. 
  thanks produsen sexi killer . :-)",selama nonton video ini seakan produser film berada pada pihak kontra pemerintah benar flora dan fauna tidak punya tempat lagi tapi apa kalian siap hidup tanpa listrik terutama yang ada di jawa jangan semua dilihat dari negatifnya aja liat dari positifnya juga dong coba bandingin kerugian yang dirasakan dibandingkan manfaat dari semua itu secara umum setiap tindakan pasti ada kesalahan makanya pemerintah selalu berusaha membuat payung hukum yang adil semoga bisa mengerti thanks produsen sexi killer
2090,Imaginasi kesejahteraan yg hanya halusinasi saja.... SADARR WOEY... BANGON..BANGON,imaginasi kesejahteraan yg hanya halusinasi saja sadarr woey bangonbangon
2091,"Jawaban gubernurnya kek dianggap sepeleh, yaudah apa kita ceburkan aja dia kelubang tambang itu",jawaban gubernurnya kek dianggap sepeleh yaudah apa kita ceburkan aja dia kelubang tambang itu
2092,"2019 ganti presiden harus diganti, prabowo harus presiden muak liat harga2 mahal semua mahal, semoga Prabowo presiden",ganti presiden harus diganti prabowo harus presiden muak liat harga mahal semua mahal semoga prabowo presiden
2093,"Biarkan azab yang menimpah mereka untuk orang"" yang serakah ..",biarkan azab yang menimpah mereka untuk orang yang serakah
2094,"Siapapun Pemimpin Nya , NEGARA akan tetap sama BERENGSEX nya. 
  -GOD HATE STATE",siapapun pemimpin nya negara akan tetap sama berengsex nya god hate state
2095,"Indonesia dengan berbagai macam problemetika , subhanallah Ã°Å¸â„¢Â
  
  Semoga pemerintah berikutnya ""lebih peduli"" atas rakyatny. Mudah2han amanah , aamiin",indonesia dengan berbagai macam problemetika subhanallah semoga pemerintah berikutnya lebih peduli atas rakyatny mudahhan amanah aamiin
2096,Astagfirullah....,astagfirullah
2097,"Bang beli martabak, tapi masaknya pake batu bara Ã°Å¸ËœÂ",bang beli martabak tapi masaknya pake batu bara
2098,"Terima kasih buat yg garap SEXY KILLER, lanjut kan Ã°Å¸â€˜Â",terima kasih buat yg garap sexy killer lanjut kan
2099,"Kok gw ngerasa emosi , kecewa , nangis , ga nyangka , yaallah begitu kerasnya kejam duniawi ini :)",kok gw ngerasa emosi kecewa nangis ga nyangka yaallah begitu kerasnya kejam duniawi ini
2100,"Gubernur : jangan2 ada hantunya (15:56)
  Ã°Å¸â„¢â€žÃ°Å¸â„¢â€žÃ°Å¸â„¢â€žÃ°Å¸â„¢â€žÃ°Å¸â„¢â€ž",gubernur jangan ada hantunya
2101,"LOL banget baca komenÃ¢â‚¬Â nya di sini, Sok hebat dan sok suci, Pdahal 1 Indonesia menikmati hasil Ã¢â‚¬Å“Sexy KillersÃ¢â‚¬Â ini, nonton youtube, charge HP, buang sampah sembaragan, pakai parfume, AC...dan seketika mencaci maki pemerintah, ada yg bilang bangsat ini bangsat itu, sudahkah kalian berkaca?...KALIAN KONSUMEN NYA SAUDARA SAUDARA!!!!!!! masih pakai plastik indomart aja uda triakÃ¢â‚¬Â di kanal youtube.... Such a loser and hypocrite",lol banget baca komen nya di sini sok hebat dan sok suci pdahal indonesia menikmati hasil sexy killers ini nonton youtube charge hp buang sampah sembaragan pakai parfume acdan seketika mencaci maki pemerintah ada yg bilang bangsat ini bangsat itu sudahkah kalian berkacakalian konsumen nya saudara saudara masih pakai plastik indomart aja uda triak di kanal youtube such a loser and hypocrite
2102,"Tanggapan pejabat daerahnya weleh2..djancukkkk, yg penting mah nyetor duit perusahannya",tanggapan pejabat daerahnya welehdjancukkkk yg penting mah nyetor duit perusahannya
2103,"Siapapun yang mencalonkan diri jadi pemimpin tetap ada kepentingan pribadi dan teman sekitarnya, bukan real untuk rakyat.",siapapun yang mencalonkan diri jadi pemimpin tetap ada kepentingan pribadi dan teman sekitarnya bukan real untuk rakyat
2104,"Ini film bagus, tp tolong beri kejelasan bukti darimana sumbernya datanya, biar rakyat g salah paham",ini film bagus tp tolong beri kejelasan bukti darimana sumbernya datanya biar rakyat g salah paham
2105,"Ya alloh...... turunkanlah izroil untuk para penguasa yg zalim kpd hambamu,,izinkan izroil menjemput nyawa mereka Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­",ya alloh turunkanlah izroil untuk para penguasa yg zalim kpd hambamuizinkan izroil menjemput nyawa mereka
2106,"itu gubernur kalo jadi gubernur di jawa pasti mati di bakar masa...
  cengengesan di depan rakyat",itu gubernur kalo jadi gubernur di jawa pasti mati di bakar masa cengengesan di depan rakyat
2107,"Ya Allah, baru menyimak..",ya allah baru menyimak
2108,"Ayo para aktivis bersama ulama jangan hanya diam saja, klo sudah hal begini kalian ada bertiak keadilan sama agamanya apa tolong klo bisa d kotbah2 kalian hal ini jga dibahas jgn cman hanya ingin memprovkasi saja tpi tolong jga kepasa seluruh elit politik baik yg kalian dukung atau tidak hukumnya ini haram mendzololimi orang yg tidak berdaya tmksh",ayo para aktivis bersama ulama jangan hanya diam saja klo sudah hal begini kalian ada bertiak keadilan sama agamanya apa tolong klo bisa d kotbah kalian hal ini jga dibahas jgn cman hanya ingin memprovkasi saja tpi tolong jga kepasa seluruh elit politik baik yg kalian dukung atau tidak hukumnya ini haram mendzololimi orang yg tidak berdaya tmksh
2109,"Apa gue doang yg merasa janggal sm video ini... di upload saat beberapa hari menjelang pemilu hmm.. Keep calm and just reminder for netizen, skeptical is needed to Ã°Å¸ËœÂ 
  Anw, kalo bisa di sebutkan min sumber sumber data (referensinya) agar jelas dan tidak terkesan memihak kemanapun dan kalau bisa sharing bagaimana cara mendapatkan izin dari daerah sekitar sehingga bisa melakukan kegiatan ini.
  Btw, don't forget to say thanks for this film documenter, membuka hati nurani manusia dan membuat pikiran lebih terbuka. 
  Salam damai selalu!Ã¢ÂÂ¤",apa gue doang yg merasa janggal sm video ini di upload saat beberapa hari menjelang pemilu hmm keep calm and just reminder for netizen skeptical is needed to anw kalo bisa di sebutkan min sumber sumber data referensinya agar jelas dan tidak terkesan memihak kemanapun dan kalau bisa sharing bagaimana cara mendapatkan izin dari daerah sekitar sehingga bisa melakukan kegiatan ini btw dont forget to say thanks for this film documenter membuka hati nurani manusia dan membuat pikiran lebih terbuka salam damai selalu
2110,Yang dislike pasti ........,yang dislike pasti
2111,Lama-lama jadi gemes sama negeri saya ini,lamalama jadi gemes sama negeri saya ini
2112,"Mau ramah lingkungan .
  Emang rakyat bersedia bayar lebih mahal????",mau ramah lingkungan emang rakyat bersedia bayar lebih mahal
2113,"Pembunuhan baik disengaja atau pun tdk tetap aja melanggar hukum, inikan sama aja membunuh pa kok g dihukum bos q, coba bpk gubernur pikir seandainya anak bpk yg tenggelam di sana apa bpk masih bilang itu nasib saya prihatin",pembunuhan baik disengaja atau pun tdk tetap aja melanggar hukum inikan sama aja membunuh pa kok g dihukum bos q coba bpk gubernur pikir seandainya anak bpk yg tenggelam di sana apa bpk masih bilang itu nasib saya prihatin
2114,"Kata pa Jokowi dengan pengawasan pemerintah daerah bisa diselesaikan, gmn mau selesai kalau solusi dari pemerintah daerah cuma ya ini nasib mereka kami juga prihatin wkwwkkw",kata pa jokowi dengan pengawasan pemerintah daerah bisa diselesaikan gmn mau selesai kalau solusi dari pemerintah daerah cuma ya ini nasib mereka kami juga prihatin wkwwkkw
2115,"Wkwkwkw takkan ada anjing yg menggigit tuanya, coba kita bayangkan seandainya semua petani di Indonesia bersatu menanam hanya untuk diri mereka bin untuk dijual kira2 tidak bupati, presiden, Fu pengusaha bisa makan g ya",wkwkwkw takkan ada anjing yg menggigit tuanya coba kita bayangkan seandainya semua petani di indonesia bersatu menanam hanya untuk diri mereka bin untuk dijual kira tidak bupati presiden fu pengusaha bisa makan g ya
2116,Mantap untuk Semua Tim Yang membuat video iniÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€™ÂªÃ°Å¸â€™ÂªÃ°Å¸â€™Âª,mantap untuk semua tim yang membuat video ini
2117,"Setelah nonton ini gw ga nyesel golput, karna ke dua-duanya memang tidak memiliki solusi untuk menyelesaikan masalah ini.. Padahal sudah banyak korban dan hanya ditanggapi ""itu sudah nasib"" Dengan mudahnya kalimat itu terucap.. Mirisss",setelah nonton ini gw ga nyesel golput karna ke duaduanya memang tidak memiliki solusi untuk menyelesaikan masalah ini padahal sudah banyak korban dan hanya ditanggapi itu sudah nasib dengan mudahnya kalimat itu terucap mirisss
2118,"Bapak jokowi,cobalah lihat masyarakat ini,jgn sibuk ngurusin pemBangunan jalan tol terus,itu sama aja ngurusin orang kaya terus,, coba lihat ini,saya aja lihat nya sedih..Pengen nangis kok...utamakan lah kesejahteraan masyarakat secara nasional,baru memikirkan yg lain.",bapak jokowicobalah lihat masyarakat inijgn sibuk ngurusin pembangunan jalan tol terusitu sama aja ngurusin orang kaya terus coba lihat inisaya aja lihat nya sedihpengen nangis kokutamakan lah kesejahteraan masyarakat secara nasionalbaru memikirkan yg lain
2119,"Pake teknologi jerman aja soalnya negaranya kelebihan listrik sampe masyarakat disana dibayar untuk menggunakan listrik, batubaranya bisa di ekspor ato di pake hal lain",pake teknologi jerman aja soalnya negaranya kelebihan listrik sampe masyarakat disana dibayar untuk menggunakan listrik batubaranya bisa di ekspor ato di pake hal lain
2120,Sakit hati gua denger kata2 gubernur gituÃ°Å¸ËœÂ¡Ã°Å¸ËœÂ¢,sakit hati gua denger kata gubernur gitu
2121,Tempat mandi mandi hantu Ã°Å¸Ëœâ€š,tempat mandi mandi hantu
2122,"Ya allah :' , setelah liat film ini rasanya campur aduk",ya allah setelah liat film ini rasanya campur aduk
2123,Samping rumah saya ada kubangan air batu bara dan tercatat di situ sudah ada yang meninggal 28 orang,samping rumah saya ada kubangan air batu bara dan tercatat di situ sudah ada yang meninggal orang
2124,Hayoo Mata Najwa berani ngangkat tema tema lingkungan,hayoo mata najwa berani ngangkat tema tema lingkungan
2125,Trending...tapi knp gk masuk akun .Lambe Turah..biar viral,trendingtapi knp gk masuk akun lambe turahbiar viral
2126,Sunnguh film dokumenter yg membuka wawasan dan emosi kita. Menangis saya menonton ini. Ya Allah beri indonesia pemimpin yg jujur. adil dan amanah,sunnguh film dokumenter yg membuka wawasan dan emosi kita menangis saya menonton ini ya allah beri indonesia pemimpin yg jujur adil dan amanah
2127,"Astagfirullah alaziim....ini perusahaan ga bertanggung jawab....ini nyawa loh kok d anggap remeh sama pak gubernur....sampai ngomong jgn2 ada hantunya dan uda tau ada lubangan masih aja ksitu,namanya jg anak2 pak liat air pasti fikiran terjun mandi2an....
  Seharusnya bapak gubernur beri jalan terbaik buat masyarakatnya,karna anda bs menjabat jadi gubernur itu atas pilihan rakyat....",astagfirullah alaziimini perusahaan ga bertanggung jawabini nyawa loh kok d anggap remeh sama pak gubernursampai ngomong jgn ada hantunya dan uda tau ada lubangan masih aja ksitunamanya jg anak pak liat air pasti fikiran terjun mandian seharusnya bapak gubernur beri jalan terbaik buat masyarakatnyakarna anda bs menjabat jadi gubernur itu atas pilihan rakyat
2128,Pemimpin macam apaaa jangan memilih para juara. Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­ Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢ cukup jangan bodohi diri,pemimpin macam apaaa jangan memilih para juara cukup jangan bodohi diri
2129,Masih ingin kah generasi muda jadi menteri menteri seperti mereka.dan menikmati hasilnya diatas penderitaan rakyat?.dan generasi ibukota yang hingar bingar tak mau instropeksi diri?.semoga kalian sadar sebelum yang menyadarkan nya Tuhan.,masih ingin kah generasi muda jadi menteri menteri seperti merekadan menikmati hasilnya diatas penderitaan rakyatdan generasi ibukota yang hingar bingar tak mau instropeksi dirisemoga kalian sadar sebelum yang menyadarkan nya tuhan
2130,Inilah wajah negara tercinta.yg kaya mkin kaya yg miskin tambah miskin.,inilah wajah negara tercintayg kaya mkin kaya yg miskin tambah miskin
2131,"Semoga Alloh merubah Batu bara sebagai Batu Api dari neraka yang di bawa Burung Ababil dan di Jatuhkan pada para penguasa dzolim, yang telah bikin kerusakan di Bumi kita tercinta.
  Aamiin... Ã°Å¸â„¢Â
  Yang setuju Aamiinkan dan angkat tangannya.",semoga alloh merubah batu bara sebagai batu api dari neraka yang di bawa burung ababil dan di jatuhkan pada para penguasa dzolim yang telah bikin kerusakan di bumi kita tercinta aamiin yang setuju aamiinkan dan angkat tangannya
2132,Ternyata Busuk semua ......,ternyata busuk semua
2133,15:48 membuat ku menarik nafas panjang dan sabar,membuat ku menarik nafas panjang dan sabar
2134,"Siapa sih ini gubernurnya , bupati .. pak presiden jokowi tolong ditinjau ini sudah kelewatan ... Sedih saya liatnya. :( Tapi saya tak punya solusi :(",siapa sih ini gubernurnya bupati pak presiden jokowi tolong ditinjau ini sudah kelewatan sedih saya liatnya tapi saya tak punya solusi
2135,Pas intronya seperti ada adegan ngeue nya..,pas intronya seperti ada adegan ngeue nya
2136,1:10:08 : haji Isam itu yg digosipkan nikah siri sama Syahrini ya ?,haji isam itu yg digosipkan nikah siri sama syahrini ya
2137,"Apakah Pak Jokowi dan menteri""nya lihat ini ya?? apakah mereka melihat dan mendengar jeritan"" rakyat kecil? rasanya ga tega melihat mereka demo smp mati""an",apakah pak jokowi dan menterinya lihat ini ya apakah mereka melihat dan mendengar jeritan rakyat kecil rasanya ga tega melihat mereka demo smp matian
2138,"sebenarnya itu dikasih caption english udh baik sih, bhs inggrisnya jg lumayan sesuai. tapi akan lbih baik kalo bhsa inggris lsug tercantum di layar, biar lbih viral scra internasional. 
  
  kalo viral internasional, ini pemimpin indonesia siapapun yg menjabat, pasti malu dan pasti berusaha lbih baik sdikit, drpd skrg. bukan spti skrg usaha perbaikan lingkungan minim/tdk ada.",sebenarnya itu dikasih caption english udh baik sih bhs inggrisnya jg lumayan sesuai tapi akan lbih baik kalo bhsa inggris lsug tercantum di layar biar lbih viral scra internasional kalo viral internasional ini pemimpin indonesia siapapun yg menjabat pasti malu dan pasti berusaha lbih baik sdikit drpd skrg bukan spti skrg usaha perbaikan lingkungan minimtdk ada
2139,"Keren film nya Ã°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜Â
  Tpi aneh knapa gk jdi Trending ya. Pdhl 22 jtx d tonton",keren film nya tpi aneh knapa gk jdi trending ya pdhl jtx d tonton
2140,Jika ada salah satu stasiun televisi Indonesia yg berani bahas ini .. JAGOO.. SAYA DOAKAN di balas masuk surga amiiin kalo berani angkat topik ini.. maaf saya tidak punya kuasa atas ini semua.. Biar Allah yg balas mafia kekuasaan itu. Ã°Å¸Ëœâ€˜ banyak itu.. semoga yg bikin video ini di lindungi Allah segala hal.. amiin.,jika ada salah satu stasiun televisi indonesia yg berani bahas ini jagoo saya doakan di balas masuk surga amiiin kalo berani angkat topik ini maaf saya tidak punya kuasa atas ini semua biar allah yg balas mafia kekuasaan itu banyak itu semoga yg bikin video ini di lindungi allah segala hal amiin
2141,"Yang namanya hasil alam harus dikelola, resiko yah biasa",yang namanya hasil alam harus dikelola resiko yah biasa
2142,ILC neh bahas ini pasti seruuu,ilc neh bahas ini pasti seruuu
2143,"Intinya, hematlah listrik",intinya hematlah listrik
2144,Ngeri juga usaha putra sang kodok,ngeri juga usaha putra sang kodok
2145,Tuuuh kalian rakyat jangan mau di adu domba.... Kalian ribut kalian gontokan bela salah satu dari yg di fanatikan giliran jadi kalian jadi apa balik lg jadi rakyat..... Yg cuma bisa mengeluh apa bila nantinya di kecewakan dengan pilihan emmmm n tuh,tuuuh kalian rakyat jangan mau di adu domba kalian ribut kalian gontokan bela salah satu dari yg di fanatikan giliran jadi kalian jadi apa balik lg jadi rakyat yg cuma bisa mengeluh apa bila nantinya di kecewakan dengan pilihan emmmm n tuh
2146,Makanya luh milih gubernur jgn lihat dari agama aja goblokkk milih pemimpin itu yg profesional buka yg cuma jago make agama doank...giliran susah baru nyalahin pemerintah...,makanya luh milih gubernur jgn lihat dari agama aja goblokkk milih pemimpin itu yg profesional buka yg cuma jago make agama doankgiliran susah baru nyalahin pemerintah
2147,Bukannya apa apa ya tapi memang orang kafir pikirannya selalu lebih maju daripada non kafir buktinya negara kafir dah banyak menerapkan sel surya dirumahnya nahh org non kafir masih pake batu bara dan minyak .....ini karena non kafir kebanyakan demo gak mau kerja beda sama kafir kerja dulu gak peduli demo....,bukannya apa apa ya tapi memang orang kafir pikirannya selalu lebih maju daripada non kafir buktinya negara kafir dah banyak menerapkan sel surya dirumahnya nahh org non kafir masih pake batu bara dan minyak ini karena non kafir kebanyakan demo gak mau kerja beda sama kafir kerja dulu gak peduli demo
2148,Sampaikan video ini ke rumah ratu MEGAWATI dan king JOKOWI. Biar mereka tau!!!,sampaikan video ini ke rumah ratu megawati dan king jokowi biar mereka tau
2149,Dukung Mata Najwa buat bahas persoalan ini,dukung mata najwa buat bahas persoalan ini
2150,Mamang pembunuh tersexy yg tak terlihat,mamang pembunuh tersexy yg tak terlihat
2151,Pembahasan prabowonya kurang lengkap Ã°Å¸ËœÂ,pembahasan prabowonya kurang lengkap
2152,Gak berhenti nangiss :((,gak berhenti nangiss
2153,"Faktanya bisa dipertanggung jawabkan ga?,malah gibran Kaesang di blok akunnya Ama sutradara,kan mereka cuma mau klarifikasi,kalo emang bener ga usah di blok Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š",faktanya bisa dipertanggung jawabkan gamalah gibran kaesang di blok akunnya ama sutradarakan mereka cuma mau klarifikasikalo emang bener ga usah di blok
2154,Oh jadi ini salah satu alasan monkey D. Dragon menentang pemerintah,oh jadi ini salah satu alasan monkey d dragon menentang pemerintah
2155,"Mereka menganggap nyawa kita murah, sampah,tak berharga!! DEMI KEPENTINGAN PRIBADI",mereka menganggap nyawa kita murah sampahtak berharga demi kepentingan pribadi
2156,"Ternyata, kiamat itu manusia yg ciptakan",ternyata kiamat itu manusia yg ciptakan
2157,"Nyataaaa dah dibunguliii nyaa kita bebuhann masyarakatt,tamann taman dusta",nyataaaa dah dibunguliii nyaa kita bebuhann masyarakatttamann taman dusta
2158,"Kau hantunya,setan!!!",kau hantunyasetan
2159,"Pake pltu salah, mau pake nuklir apalagi. Mending indonesia bikin tenaga listrik yg di kembangin nicolas tesla aja.",pake pltu salah mau pake nuklir apalagi mending indonesia bikin tenaga listrik yg di kembangin nicolas tesla aja
2160,kenapa yg ditayangin cuma dampak negatifnya? padahal masih banyak dampak positif bagi warga sekitar dengan adanya pertambangan,kenapa yg ditayangin cuma dampak negatifnya padahal masih banyak dampak positif bagi warga sekitar dengan adanya pertambangan
2161,Kasihan kami pak. Selalu rakyat kecil yg jadi korban pencarian kotor perut pengusaha besar.. Tak satupun yg bersih yg bner bner membela rakyat kecil. Semua hanya kedok busuk belaka. Indonesia negara ku.. Pemimpin bukan punya ku.,kasihan kami pak selalu rakyat kecil yg jadi korban pencarian kotor perut pengusaha besar tak satupun yg bersih yg bner bner membela rakyat kecil semua hanya kedok busuk belaka indonesia negara ku pemimpin bukan punya ku
2162,Ternyata,ternyata
2163,"Kalimantan sumber batu bara - batu bara sumber pembangkit listrik - kalimantan listriknya sering padam.
  Susahnya mengatur bumi pertiwi..",kalimantan sumber batu bara batu bara sumber pembangkit listrik kalimantan listriknya sering padam susahnya mengatur bumi pertiwi
2164,Omg nnton nih film.. Br nyadar yaa hidup gw enak bnget.. sedihnyaaa,omg nnton nih film br nyadar yaa hidup gw enak bnget sedihnyaaa
2165,Gara2 nonton ini jadi lebih merasa brsukur sma hidup yg skrg ya ampun..,gara nonton ini jadi lebih merasa brsukur sma hidup yg skrg ya ampun
2166,"Pakai energi nuklir, indonesia jadi negara maju",pakai energi nuklir indonesia jadi negara maju
2167,Gubernure tai Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡,gubernure tai
2168,Liat aja jadi ikut sedih gimana klo saya yg disana dan mengalami...... Ternyata petinggi2 negara jahat euy...... Ã°Å¸ËœÂ­,liat aja jadi ikut sedih gimana klo saya yg disana dan mengalami ternyata petinggi negara jahat euy
2169,"jangankan bangun PLTU y bro, anda bangun rumah aja nyusahin tetangga ko, ntah pasirnya dijalan, ntah brangkalnya dijalan, ntah suaranya brisik, ntahlah... 
  sy yakin sbnre alternatif tuh banyak, tp semua harus ada perhitungannya, gk mgkn sehari jadi, bahkan bertahun2, SDA jg blm tentu mumpuni, kalo pake tenaga asing ntar ada kata2 mutiara lain, INDONESIA tu komplek bro, SDM kita emg sedang dicerdaskan pelan2, tp cerdas ngocehnya dr pada kreatifnya..",jangankan bangun pltu y bro anda bangun rumah aja nyusahin tetangga ko ntah pasirnya dijalan ntah brangkalnya dijalan ntah suaranya brisik ntahlah sy yakin sbnre alternatif tuh banyak tp semua harus ada perhitungannya gk mgkn sehari jadi bahkan bertahun sda jg blm tentu mumpuni kalo pake tenaga asing ntar ada kata mutiara lain indonesia tu komplek bro sdm kita emg sedang dicerdaskan pelan tp cerdas ngocehnya dr pada kreatifnya
